method,jpf_pass,violation_type,counterexample,instructions,states_new,states_end,depth,timeout,notes
Abs.Abs,true,,,10878,2,9,2,false,pass_kind=A; entry=Abs
AbsSeq.Abs,true,,,10792,2,9,2,false,pass_kind=A; entry=Abs
Absolute.Absolute,true,,,10594,2,9,2,false,pass_kind=A; entry=Absolute
AddLoop.AddLoop,true,,,81115,11,81,3,false,pass_kind=A; entry=AddLoop
AddLoopFor.addLoop,true,,,94030,11,81,3,false,pass_kind=A; entry=addLoop
AddTwoLoop.add,true,,,141388,11,81,3,false,pass_kind=A; entry=add
Biggest.biggest,true,,,5428846,468,2801,5,false,pass_kind=A; entry=biggest
BinarySearch.Binary,true,,,50709327,3279,25209,7,false,pass_kind=A; entry=Binary
BubbleSort.bubbleSort,true,,,21257242,474,2801,6,false,pass_kind=A; entry=bubbleSort
BubbleSortDesc.bubbleSort,true,,,25056582,475,2801,6,false,pass_kind=A; entry=bubbleSort
Calculator.calculate,false,NoUncaughtExceptionsProperty,        ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/Calculator/Calculator.java:3: verify: JML precondition is false\n    //@ requires (operator == '+' || operator == '-' || operator == '*' || operator == '/' || operator == '%');\n        ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/Calculator/Calculator.java:3: verify: JML precondition is false\n    //@ requires (operator == '+' || operator == '-' || operator == '*' || operator == '/' || operator == '%'...,3930001,94,7695,4,false,pass_kind=n/a; entry=calculate
CalculatorShuffled.calculate,false,NoUncaughtExceptionsProperty,        ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/CalculatorShuffled/CalculatorShuffled.java:3: verify: JML precondition is false\n    //@ requires operator == '-' || operator == '*' || operator == '/' || operator == '+' || operator != operator;\n        ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/few_shot/CalculatorShuffled/CalculatorShuffled.java:3: verify: JML precondition is false\n    //@ requires operator == '-' || operator == '*' || operator == '/' || ...,3846283,94,7695,4,false,pass_kind=n/a; entry=calculate
CanWinNim.canWinNim,true,,,10576,2,9,2,false,pass_kind=A; entry=canWinNim
ChangeCase.changeCase,true,,,37874,2,95,2,false,pass_kind=A; entry=changeCase
CheckABeforeB.checkString,true,,,728588,31,703,3,false,pass_kind=A; entry=checkString
