method,jpf_pass,violation_type,counterexample,instructions,states_new,states_end,depth,timeout,notes
Abs.Abs,true,,,10702,2,9,2,false,pass_kind=A; entry=Abs
AbsSeq.Abs,true,,,10787,2,9,2,false,pass_kind=A; entry=Abs
Absolute.Absolute,true,,,10722,2,9,2,false,pass_kind=A; entry=Absolute
AddLoop.AddLoop,true,,,77794,11,81,3,false,pass_kind=A; entry=AddLoop
AddLoopFor.addLoop,true,,,71746,11,81,3,false,pass_kind=A; entry=addLoop
AddTwoLoop,false,skipped,,,,,,false,no_rac_class
Biggest,false,skipped,,,,,,false,no_rac_class
BinarySearch.Binary,true,,,54244386,3277,25209,7,false,pass_kind=A; entry=Binary
BubbleSort.bubbleSort,true,,,32184285,483,2801,6,false,pass_kind=A; entry=bubbleSort
BubbleSortDesc.bubbleSort,true,,,28944879,477,2801,6,false,pass_kind=A; entry=bubbleSort
Calculator.calculate,false,NoUncaughtExceptionsProperty,"      [2507 insn w/o sources]\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/zero_shot/Calculator/Calculator.java:15: verify: JML signals condition is false\n    public  int calculate(int num1, int num2, char operator) {\n                ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/zero_shot/Calculator/Calculator.java:3: verify: Associated declaration: /Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/zero_shot/Calculato...",2539645,93,7695,4,false,pass_kind=n/a; entry=calculate
CalculatorShuffled.calculate,false,NoUncaughtExceptionsProperty,        ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/zero_shot/CalculatorShuffled/CalculatorShuffled.java:4: verify: JML precondition is false\n      @ requires operator == '-' || operator == '*' || operator == '/' || operator == '+';\n        ^\n/Users/tiancheng/Documents/Software Validation/verification-project/experiment/openrouter-run/stage3-jml/zero_shot/CalculatorShuffled/CalculatorShuffled.java:4: verify: JML precondition is false\n      @ requires operator == '-' || operator == '*' || operator == '/' || operator == '+';\n     ...,3707305,94,7695,4,false,pass_kind=n/a; entry=calculate
CanWinNim.canWinNim,true,,,10720,2,9,2,false,pass_kind=A; entry=canWinNim
ChangeCase.changeCase,true,,,42655,2,95,2,false,pass_kind=A; entry=changeCase
CheckABeforeB.checkString,true,,,748073,31,703,3,false,pass_kind=A; entry=checkString
CompareArray.arrcmp,false,exit_code_-9,"JavaPathfinder core system v8.0 (rev 2bf98722c49a8149f9a6f68acb9edc6ba5cdd557) - (C) 2005-2014 United States Government. All rights reserved.\n\n\n====================================================== system under test\nHarness_CompareArray.main()\n\n====================================================== search started: 4/21/26, 7:27 PM\n",,,,,true,pass_kind=n/a; entry=arrcmp; wall_timeout_s=30.0
ComputeArea.computeOverlapArea,false,exit_code_-9,"JavaPathfinder core system v8.0 (rev 2bf98722c49a8149f9a6f68acb9edc6ba5cdd557) - (C) 2005-2014 United States Government. All rights reserved.\n\n\n====================================================== system under test\nHarness_ComputeArea.main()\n\n====================================================== search started: 4/21/26, 7:28 PM\n",,,,,true,pass_kind=n/a; entry=computeOverlapArea; wall_timeout_s=30.0
ComputeAreaBranch,false,skipped,,,,,,false,no_rac_class
ComputeOverlap.computeOverlapArea,false,exit_code_-9,"JavaPathfinder core system v8.0 (rev 2bf98722c49a8149f9a6f68acb9edc6ba5cdd557) - (C) 2005-2014 United States Government. All rights reserved.\n\n\n====================================================== system under test\nHarness_ComputeOverlap.main()\n\n====================================================== search started: 4/21/26, 7:28 PM\n",,,,,true,pass_kind=n/a; entry=computeOverlapArea; wall_timeout_s=30.0
ComputeOverlapBranch,false,skipped,,,,,,false,no_rac_class
Conjunction.conjunctOf,true,,,9663,4,4,3,false,pass_kind=A; entry=conjunctOf
ContainsDuplicate,false,skipped,,,,,,false,no_rac_class
ConvertTemperature.convertTemperature,true,,,10264,2,5,2,false,pass_kind=A; entry=convertTemperature
ConvertToFahrenheit.convertTemperature,true,,,9924,2,5,2,false,pass_kind=A; entry=convertTemperature
ConvertToKelvin.convertTemperature,true,,,9884,2,5,2,false,pass_kind=A; entry=convertTemperature
ConvertToTitle.convertToTitle,true,,,19554,4,9,2,false,pass_kind=A; entry=convertToTitle
CopyArray,false,skipped,,,,,,false,no_rac_class
DigitRoot,false,skipped,,,,,,false,no_rac_class
Disjunction.disjunctOf,true,,,9597,4,4,3,false,pass_kind=A; entry=disjunctOf
DivisorGame.divisorGame,true,,,11801,3,9,2,false,pass_kind=A; entry=divisorGame
DominantIndex.dominantIndex,true,,,9414480,469,2801,5,false,pass_kind=A; entry=dominantIndex
EchoIntLoop,false,skipped,,,,,,false,no_rac_class
Fibonacci.fibCompute,true,,,16272,3,9,2,false,pass_kind=A; entry=fibCompute
FindClosestNum.findClosestNumber,true,,,11045519,470,2801,5,false,pass_kind=A; entry=findClosestNumber
FindFirstZero.FindFirstZero,true,,,3741277,468,2801,5,false,pass_kind=A; entry=FindFirstZero
FizzBuzz.fizzBuzz,true,,,12293,2,9,2,false,pass_kind=A; entry=fizzBuzz
FizzBuzzSeq.fizzBuzz,true,,,11971,2,9,2,false,pass_kind=A; entry=fizzBuzz
GCD.gcd,true,,,148027,11,81,3,false,pass_kind=A; entry=gcd
IntCube.cubeOf,true,,,166136,2,9,2,false,pass_kind=A; entry=cubeOf
IntSquare.squareOf,true,,,38742,2,9,2,false,pass_kind=A; entry=squareOf
Inverse.Inverse,false,exit_code_-9,"JavaPathfinder core system v8.0 (rev 2bf98722c49a8149f9a6f68acb9edc6ba5cdd557) - (C) 2005-2014 United States Government. All rights reserved.\n\n\n====================================================== system under test\nHarness_Inverse.main()\n\n====================================================== search started: 4/21/26, 7:29 PM\n",,,,,true,pass_kind=n/a; entry=Inverse; wall_timeout_s=30.0
IsAllUnique,false,skipped,,,,,,false,no_rac_class
IsAscending.isAscending,false,NoUncaughtExceptionsProperty,"                   ^\n\n====================================================== error 90\ngov.nasa.jpf.vm.NoUncaughtExceptionsProperty\njava.lang.ArrayIndexOutOfBoundsException: 4\n	at IsAscending.isAscending(IsAscending.java:17)\n	at Harness_IsAscending.main(Harness_IsAscending.java:10)\n\n\n====================================================== trace #90\n------------------------------------------------------ transition #0 thread: 0\ngov.nasa.jpf.vm.choice.ThreadChoiceFromSet {id:""ROOT"" ,1/1,isCascaded:false}\n      [9169 insn w/o sources]\n------------------------------------------------------ transit...",2043231,469,2801,5,false,pass_kind=n/a; entry=isAscending
IsBoomerang,false,skipped,,,,,,false,harness_unsupported:unsupported param type: int[][]
IsCommonFactor.isCommonFactor,false,NoUncaughtExceptionsProperty,"gov.nasa.jpf.vm.NoUncaughtExceptionsProperty\njava.lang.ArithmeticException: division by zero\n	at IsCommonFactor.isCommonFactor(IsCommonFactor.java:7)\n	at Harness_IsCommonFactor.main(Harness_IsCommonFactor.java:8)\n\n\n====================================================== trace #79\n------------------------------------------------------ transition #0 thread: 0\ngov.nasa.jpf.vm.choice.ThreadChoiceFromSet {id:""ROOT"" ,1/1,isCascaded:false}\n      [9169 insn w/o sources]\n------------------------------------------------------ transition #1 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=""veri...",208673,93,729,4,false,pass_kind=n/a; entry=isCommonFactor
IsCommonFactorBranch.isCommonFactor,false,NoUncaughtExceptionsProperty,"gov.nasa.jpf.vm.NoUncaughtExceptionsProperty\njava.lang.ArithmeticException: division by zero\n	at IsCommonFactorBranch.isCommonFactor(IsCommonFactorBranch.java:7)\n	at Harness_IsCommonFactorBranch.main(Harness_IsCommonFactorBranch.java:8)\n\n\n====================================================== trace #79\n------------------------------------------------------ transition #0 thread: 0\ngov.nasa.jpf.vm.choice.ThreadChoiceFromSet {id:""ROOT"" ,1/1,isCascaded:false}\n      [9169 insn w/o sources]\n------------------------------------------------------ transition #1 thread: 0\ngov.nasa.jpf.vm.choice.IntIn...",210265,93,729,4,false,pass_kind=n/a; entry=isCommonFactor
