benchmark,config,strategy,model,pass_kind,method,jpf_pass,violation_type,counterexample,instructions,states_new,states_end,depth,timeout,notes
Abs,few_shot__MiniMaxAI_MiniMax-M2.7,few_shot,MiniMaxAI_MiniMax-M2.7,A,Abs.Abs,true,,,10819,2,9,2,false,pass_kind=A; entry=Abs
Abs,few_shot__Qwen_Qwen3-Coder-Next-FP8,few_shot,Qwen_Qwen3-Coder-Next-FP8,A,Abs.Abs,true,,,10837,2,9,2,false,pass_kind=A; entry=Abs
Abs,zero_shot__MiniMaxAI_MiniMax-M2.7,zero_shot,MiniMaxAI_MiniMax-M2.7,A,Abs.Abs,true,,,10923,2,9,2,false,pass_kind=A; entry=Abs
Abs,zero_shot__Qwen_Qwen3-Coder-Next-FP8,zero_shot,Qwen_Qwen3-Coder-Next-FP8,,Abs,false,skipped,,,,,,false,no_rac_class
AbsSeq,few_shot__MiniMaxAI_MiniMax-M2.7,few_shot,MiniMaxAI_MiniMax-M2.7,A,AbsSeq.Abs,true,,,10823,2,9,2,false,pass_kind=A; entry=Abs
AbsSeq,few_shot__Qwen_Qwen3-Coder-Next-FP8,few_shot,Qwen_Qwen3-Coder-Next-FP8,A,AbsSeq.Abs,true,,,10787,2,9,2,false,pass_kind=A; entry=Abs
AbsSeq,zero_shot__MiniMaxAI_MiniMax-M2.7,zero_shot,MiniMaxAI_MiniMax-M2.7,A,AbsSeq.Abs,true,,,10787,2,9,2,false,pass_kind=A; entry=Abs
AbsSeq,zero_shot__Qwen_Qwen3-Coder-Next-FP8,zero_shot,Qwen_Qwen3-Coder-Next-FP8,A,AbsSeq.Abs,true,,,10241,2,9,2,false,pass_kind=A; entry=Abs
Absolute,few_shot__MiniMaxAI_MiniMax-M2.7,few_shot,MiniMaxAI_MiniMax-M2.7,A,Absolute.Absolute,true,,,10247,2,9,2,false,pass_kind=A; entry=Absolute
Absolute,few_shot__Qwen_Qwen3-Coder-Next-FP8,few_shot,Qwen_Qwen3-Coder-Next-FP8,A,Absolute.Absolute,true,,,10856,2,9,2,false,pass_kind=A; entry=Absolute
Absolute,zero_shot__MiniMaxAI_MiniMax-M2.7,zero_shot,MiniMaxAI_MiniMax-M2.7,A,Absolute.Absolute,true,,,10933,2,9,2,false,pass_kind=A; entry=Absolute
Absolute,zero_shot__Qwen_Qwen3-Coder-Next-FP8,zero_shot,Qwen_Qwen3-Coder-Next-FP8,,Absolute,false,skipped,,,,,,false,no_rac_class
AddLoop,few_shot__MiniMaxAI_MiniMax-M2.7,few_shot,MiniMaxAI_MiniMax-M2.7,A,AddLoop.AddLoop,true,,,75850,11,81,3,false,pass_kind=A; entry=AddLoop
AddLoop,few_shot__Qwen_Qwen3-Coder-Next-FP8,few_shot,Qwen_Qwen3-Coder-Next-FP8,A,AddLoop.AddLoop,true,,,75850,11,81,3,false,pass_kind=A; entry=AddLoop
AddLoop,zero_shot__MiniMaxAI_MiniMax-M2.7,zero_shot,MiniMaxAI_MiniMax-M2.7,A,AddLoop.AddLoop,true,,,70747,11,81,3,false,pass_kind=A; entry=AddLoop
AddLoop,zero_shot__Qwen_Qwen3-Coder-Next-FP8,zero_shot,Qwen_Qwen3-Coder-Next-FP8,A,AddLoop.AddLoop,true,,,88747,15,81,3,false,pass_kind=A; entry=AddLoop
AddLoopFor,few_shot__MiniMaxAI_MiniMax-M2.7,few_shot,MiniMaxAI_MiniMax-M2.7,A,AddLoopFor.addLoop,true,,,26863,11,81,3,false,pass_kind=A; entry=addLoop
AddLoopFor,few_shot__Qwen_Qwen3-Coder-Next-FP8,few_shot,Qwen_Qwen3-Coder-Next-FP8,,AddLoopFor,false,skipped,,,,,,false,no_rac_class
AddLoopFor,zero_shot__MiniMaxAI_MiniMax-M2.7,zero_shot,MiniMaxAI_MiniMax-M2.7,,AddLoopFor,false,skipped,,,,,,false,no_rac_class
AddLoopFor,zero_shot__Qwen_Qwen3-Coder-Next-FP8,zero_shot,Qwen_Qwen3-Coder-Next-FP8,A,AddLoopFor.addLoop,true,,,69379,11,81,3,false,pass_kind=A; entry=addLoop
AddTwoLoop,few_shot__MiniMaxAI_MiniMax-M2.7,few_shot,MiniMaxAI_MiniMax-M2.7,A,AddTwoLoop.add,true,,,49588,11,81,3,false,pass_kind=A; entry=add
AddTwoLoop,few_shot__Qwen_Qwen3-Coder-Next-FP8,few_shot,Qwen_Qwen3-Coder-Next-FP8,A,AddTwoLoop.add,true,,,228472,18,81,3,false,pass_kind=A; entry=add
AddTwoLoop,zero_shot__MiniMaxAI_MiniMax-M2.7,zero_shot,MiniMaxAI_MiniMax-M2.7,A,AddTwoLoop.add,true,,,286238,19,81,3,false,pass_kind=A; entry=add
AddTwoLoop,zero_shot__Qwen_Qwen3-Coder-Next-FP8,zero_shot,Qwen_Qwen3-Coder-Next-FP8,A,AddTwoLoop.add,true,,,164300,11,81,3,false,pass_kind=A; entry=add
Biggest,few_shot__MiniMaxAI_MiniMax-M2.7,few_shot,MiniMaxAI_MiniMax-M2.7,A,Biggest.biggest,true,,,5635400,468,2801,5,false,pass_kind=A; entry=biggest
Biggest,few_shot__Qwen_Qwen3-Coder-Next-FP8,few_shot,Qwen_Qwen3-Coder-Next-FP8,A,Biggest.biggest,true,,,5635400,468,2801,5,false,pass_kind=A; entry=biggest
Biggest,zero_shot__MiniMaxAI_MiniMax-M2.7,zero_shot,MiniMaxAI_MiniMax-M2.7,,Biggest,false,skipped,,,,,,false,no_rac_class
Biggest,zero_shot__Qwen_Qwen3-Coder-Next-FP8,zero_shot,Qwen_Qwen3-Coder-Next-FP8,A,Biggest.biggest,true,,,5125596,468,2801,5,false,pass_kind=A; entry=biggest
BinarySearch,few_shot__MiniMaxAI_MiniMax-M2.7,few_shot,MiniMaxAI_MiniMax-M2.7,,BinarySearch,false,skipped,,,,,,false,no_rac_class
BinarySearch,few_shot__Qwen_Qwen3-Coder-Next-FP8,few_shot,Qwen_Qwen3-Coder-Next-FP8,A,BinarySearch.Binary,true,,,52237432,3275,25209,7,false,pass_kind=A; entry=Binary
