benchmark,few_shot__MiniMaxAI_MiniMax-M2.7__method,few_shot__MiniMaxAI_MiniMax-M2.7__jpf_pass,few_shot__MiniMaxAI_MiniMax-M2.7__violation_type,few_shot__MiniMaxAI_MiniMax-M2.7__timeout,few_shot__MiniMaxAI_MiniMax-M2.7__pass_kind,few_shot__MiniMaxAI_MiniMax-M2.7__instructions,few_shot__MiniMaxAI_MiniMax-M2.7__states_new,few_shot__MiniMaxAI_MiniMax-M2.7__states_end,few_shot__MiniMaxAI_MiniMax-M2.7__depth,few_shot__MiniMaxAI_MiniMax-M2.7__notes,few_shot__Qwen_Qwen3-Coder-Next-FP8__method,few_shot__Qwen_Qwen3-Coder-Next-FP8__jpf_pass,few_shot__Qwen_Qwen3-Coder-Next-FP8__violation_type,few_shot__Qwen_Qwen3-Coder-Next-FP8__timeout,few_shot__Qwen_Qwen3-Coder-Next-FP8__pass_kind,few_shot__Qwen_Qwen3-Coder-Next-FP8__instructions,few_shot__Qwen_Qwen3-Coder-Next-FP8__states_new,few_shot__Qwen_Qwen3-Coder-Next-FP8__states_end,few_shot__Qwen_Qwen3-Coder-Next-FP8__depth,few_shot__Qwen_Qwen3-Coder-Next-FP8__notes,zero_shot__MiniMaxAI_MiniMax-M2.7__method,zero_shot__MiniMaxAI_MiniMax-M2.7__jpf_pass,zero_shot__MiniMaxAI_MiniMax-M2.7__violation_type,zero_shot__MiniMaxAI_MiniMax-M2.7__timeout,zero_shot__MiniMaxAI_MiniMax-M2.7__pass_kind,zero_shot__MiniMaxAI_MiniMax-M2.7__instructions,zero_shot__MiniMaxAI_MiniMax-M2.7__states_new,zero_shot__MiniMaxAI_MiniMax-M2.7__states_end,zero_shot__MiniMaxAI_MiniMax-M2.7__depth,zero_shot__MiniMaxAI_MiniMax-M2.7__notes,zero_shot__Qwen_Qwen3-Coder-Next-FP8__method,zero_shot__Qwen_Qwen3-Coder-Next-FP8__jpf_pass,zero_shot__Qwen_Qwen3-Coder-Next-FP8__violation_type,zero_shot__Qwen_Qwen3-Coder-Next-FP8__timeout,zero_shot__Qwen_Qwen3-Coder-Next-FP8__pass_kind,zero_shot__Qwen_Qwen3-Coder-Next-FP8__instructions,zero_shot__Qwen_Qwen3-Coder-Next-FP8__states_new,zero_shot__Qwen_Qwen3-Coder-Next-FP8__states_end,zero_shot__Qwen_Qwen3-Coder-Next-FP8__depth,zero_shot__Qwen_Qwen3-Coder-Next-FP8__notes
Abs,Abs.Abs,true,,false,A,10819,2,9,2,pass_kind=A; entry=Abs,Abs.Abs,true,,false,A,10837,2,9,2,pass_kind=A; entry=Abs,Abs.Abs,true,,false,A,10923,2,9,2,pass_kind=A; entry=Abs,Abs,false,skipped,false,,,,,,no_rac_class
AbsSeq,AbsSeq.Abs,true,,false,A,10823,2,9,2,pass_kind=A; entry=Abs,AbsSeq.Abs,true,,false,A,10787,2,9,2,pass_kind=A; entry=Abs,AbsSeq.Abs,true,,false,A,10787,2,9,2,pass_kind=A; entry=Abs,AbsSeq.Abs,true,,false,A,10241,2,9,2,pass_kind=A; entry=Abs
Absolute,Absolute.Absolute,true,,false,A,10247,2,9,2,pass_kind=A; entry=Absolute,Absolute.Absolute,true,,false,A,10856,2,9,2,pass_kind=A; entry=Absolute,Absolute.Absolute,true,,false,A,10933,2,9,2,pass_kind=A; entry=Absolute,Absolute,false,skipped,false,,,,,,no_rac_class
AddLoop,AddLoop.AddLoop,true,,false,A,75850,11,81,3,pass_kind=A; entry=AddLoop,AddLoop.AddLoop,true,,false,A,75850,11,81,3,pass_kind=A; entry=AddLoop,AddLoop.AddLoop,true,,false,A,70747,11,81,3,pass_kind=A; entry=AddLoop,AddLoop.AddLoop,true,,false,A,88747,15,81,3,pass_kind=A; entry=AddLoop
AddLoopFor,AddLoopFor.addLoop,true,,false,A,26863,11,81,3,pass_kind=A; entry=addLoop,AddLoopFor,false,skipped,false,,,,,,no_rac_class,AddLoopFor,false,skipped,false,,,,,,no_rac_class,AddLoopFor.addLoop,true,,false,A,69379,11,81,3,pass_kind=A; entry=addLoop
AddTwoLoop,AddTwoLoop.add,true,,false,A,49588,11,81,3,pass_kind=A; entry=add,AddTwoLoop.add,true,,false,A,228472,18,81,3,pass_kind=A; entry=add,AddTwoLoop.add,true,,false,A,286238,19,81,3,pass_kind=A; entry=add,AddTwoLoop.add,true,,false,A,164300,11,81,3,pass_kind=A; entry=add
Biggest,Biggest.biggest,true,,false,A,5635400,468,2801,5,pass_kind=A; entry=biggest,Biggest.biggest,true,,false,A,5635400,468,2801,5,pass_kind=A; entry=biggest,Biggest,false,skipped,false,,,,,,no_rac_class,Biggest.biggest,true,,false,A,5125596,468,2801,5,pass_kind=A; entry=biggest
BinarySearch,BinarySearch,false,skipped,false,,,,,,no_rac_class,BinarySearch.Binary,true,,false,A,52237432,3275,25209,7,pass_kind=A; entry=Binary,BinarySearch.Binary,true,,false,A,35404631,3272,25209,7,pass_kind=A; entry=Binary,BinarySearch,false,skipped,false,,,,,,no_rac_class
BubbleSort,BubbleSort,false,skipped,false,,,,,,no_rac_class,BubbleSort.bubbleSort,true,,false,A,25643718,475,2801,6,pass_kind=A; entry=bubbleSort,BubbleSort,false,skipped,false,,,,,,no_rac_class,BubbleSort,false,skipped,false,,,,,,no_rac_class
BubbleSortDesc,BubbleSortDesc.bubbleSort,true,,false,A,4174099,468,2801,5,pass_kind=A; entry=bubbleSort,BubbleSortDesc,false,skipped,false,,,,,,no_rac_class,BubbleSortDesc,false,skipped,false,,,,,,no_rac_class,BubbleSortDesc,false,skipped,false,,,,,,no_rac_class
Calculator,Calculator,false,skipped,false,,,,,,no_rac_class,Calculator.calculate,false,NoUncaughtExceptionsProperty,false,n/a,3852151,94,7695,4,pass_kind=n/a; entry=calculate,Calculator.calculate,false,NoUncaughtExceptionsProperty,false,n/a,3970383,95,7695,4,pass_kind=n/a; entry=calculate,Calculator.calculate,false,NoUncaughtExceptionsProperty,false,n/a,845755,93,7695,4,pass_kind=n/a; entry=calculate
CalculatorShuffled,CalculatorShuffled,false,skipped,false,,,,,,no_rac_class,CalculatorShuffled.calculate,false,NoUncaughtExceptionsProperty,false,n/a,3143751,98,7695,4,pass_kind=n/a; entry=calculate,CalculatorShuffled.calculate,false,NoUncaughtExceptionsProperty,false,n/a,843226,93,7695,4,pass_kind=n/a; entry=calculate,CalculatorShuffled,false,skipped,false,,,,,,no_rac_class
CanWinNim,CanWinNim.canWinNim,true,,false,A,10558,2,9,2,pass_kind=A; entry=canWinNim,CanWinNim.canWinNim,true,,false,A,10576,2,9,2,pass_kind=A; entry=canWinNim,CanWinNim,false,skipped,false,,,,,,no_rac_class,CanWinNim,false,skipped,false,,,,,,no_rac_class
ChangeCase,ChangeCase,false,skipped,false,,,,,,no_rac_class,ChangeCase,false,skipped,false,,,,,,no_rac_class,ChangeCase.changeCase,true,,false,A,31914,2,95,2,pass_kind=A; entry=changeCase,ChangeCase,false,skipped,false,,,,,,no_rac_class
CheckABeforeB,CheckABeforeB.checkString,true,,false,A,272454,31,703,3,pass_kind=A; entry=checkString,CheckABeforeB,false,skipped,false,,,,,,no_rac_class,CheckABeforeB,false,skipped,false,,,,,,no_rac_class,CheckABeforeB.checkString,true,,false,A,796588,33,703,4,pass_kind=A; entry=checkString
CompareArray,CompareArray.arrcmp,false,exit_code_-9,true,n/a,,,,,pass_kind=n/a; entry=arrcmp; wall_timeout_s=30.0,CompareArray,false,skipped,false,,,,,,no_rac_class,CompareArray,false,skipped,false,,,,,,no_rac_class,CompareArray,false,skipped,false,,,,,,no_rac_class
ComputeArea,ComputeArea.computeOverlapArea,false,exit_code_-9,true,n/a,,,,,pass_kind=n/a; entry=computeOverlapArea; wall_timeout_s=30.0,ComputeArea,false,skipped,false,,,,,,no_rac_class,ComputeArea.computeOverlapArea,false,exit_code_-9,true,n/a,,,,,pass_kind=n/a; entry=computeOverlapArea; wall_timeout_s=30.0,ComputeArea.computeOverlapArea,false,exit_code_-9,true,n/a,,,,,pass_kind=n/a; entry=computeOverlapArea; wall_timeout_s=30.0
ComputeAreaBranch,ComputeAreaBranch,false,skipped,false,,,,,,no_rac_class,ComputeAreaBranch,false,skipped,false,,,,,,no_rac_class,ComputeAreaBranch.computeOverlapArea,false,exit_code_-9,true,n/a,,,,,pass_kind=n/a; entry=computeOverlapArea; wall_timeout_s=30.0,ComputeAreaBranch,false,skipped,false,,,,,,no_rac_class
ComputeOverlap,ComputeOverlap.computeOverlapArea,false,exit_code_-9,true,n/a,,,,,pass_kind=n/a; entry=computeOverlapArea; wall_timeout_s=30.0,ComputeOverlap.computeOverlapArea,false,exit_code_-9,true,n/a,,,,,pass_kind=n/a; entry=computeOverlapArea; wall_timeout_s=30.0,ComputeOverlap,false,skipped,false,,,,,,no_rac_class,ComputeOverlap,false,skipped,false,,,,,,no_rac_class
ComputeOverlapBranch,ComputeOverlapBranch,false,skipped,false,,,,,,no_rac_class,ComputeOverlapBranch,false,skipped,false,,,,,,no_rac_class,ComputeOverlapBranch.computeOverlapArea,false,exit_code_-9,true,n/a,,,,,pass_kind=n/a; entry=computeOverlapArea; wall_timeout_s=30.0,ComputeOverlapBranch,false,skipped,false,,,,,,no_rac_class
Conjunction,Conjunction.conjunctOf,true,,false,A,9591,4,4,3,pass_kind=A; entry=conjunctOf,Conjunction.conjunctOf,true,,false,A,9599,4,4,3,pass_kind=A; entry=conjunctOf,Conjunction.conjunctOf,true,,false,A,9655,4,4,3,pass_kind=A; entry=conjunctOf,Conjunction,false,skipped,false,,,,,,no_rac_class
ContainsDuplicate,ContainsDuplicate.containsDuplicate,true,,false,A,6860677,468,2801,5,pass_kind=A; entry=containsDuplicate,ContainsDuplicate.containsDuplicate,true,,false,A,9661732,470,2801,5,pass_kind=A; entry=containsDuplicate,ContainsDuplicate.containsDuplicate,true,,false,A,10057164,470,2801,5,pass_kind=A; entry=containsDuplicate,ContainsDuplicate,false,skipped,false,,,,,,no_rac_class
ConvertTemperature,ConvertTemperature.convertTemperature,true,,false,A,10179,2,5,2,pass_kind=A; entry=convertTemperature,ConvertTemperature.convertTemperature,true,,false,A,10129,2,5,2,pass_kind=A; entry=convertTemperature,ConvertTemperature,false,skipped,false,,,,,,no_rac_class,ConvertTemperature,false,skipped,false,,,,,,no_rac_class
ConvertToFahrenheit,ConvertToFahrenheit.convertTemperature,true,,false,A,9984,2,5,2,pass_kind=A; entry=convertTemperature,ConvertToFahrenheit.convertTemperature,true,,false,A,9844,2,5,2,pass_kind=A; entry=convertTemperature,ConvertToFahrenheit,false,skipped,false,,,,,,no_rac_class,ConvertToFahrenheit,false,skipped,false,,,,,,no_rac_class
ConvertToKelvin,ConvertToKelvin.convertTemperature,true,,false,A,11184,2,5,2,pass_kind=A; entry=convertTemperature,ConvertToKelvin.convertTemperature,true,,false,A,9804,2,5,2,pass_kind=A; entry=convertTemperature,ConvertToKelvin.convertTemperature,true,,false,A,11054,2,5,2,pass_kind=A; entry=convertTemperature,ConvertToKelvin,false,skipped,false,,,,,,no_rac_class
ConvertToTitle,ConvertToTitle,false,skipped,false,,,,,,no_rac_class,ConvertToTitle,false,skipped,false,,,,,,no_rac_class,ConvertToTitle,false,skipped,false,,,,,,no_rac_class,ConvertToTitle,false,skipped,false,,,,,,no_rac_class
CopyArray,CopyArray.CopyArray,false,NoUncaughtExceptionsProperty,true,n/a,,,,,pass_kind=n/a; entry=CopyArray; wall_timeout_s=30.0,CopyArray.CopyArray,false,NoUncaughtExceptionsProperty,true,n/a,,,,,pass_kind=n/a; entry=CopyArray; wall_timeout_s=30.0,CopyArray,false,skipped,false,,,,,,no_rac_class,CopyArray,false,skipped,false,,,,,,no_rac_class
DigitRoot,DigitRoot.digitRoot,true,,false,A,10249,2,9,2,pass_kind=A; entry=digitRoot,DigitRoot.digitRoot,true,,false,A,13758,3,9,2,pass_kind=A; entry=digitRoot,DigitRoot,false,skipped,false,,,,,,no_rac_class,DigitRoot,false,skipped,false,,,,,,no_rac_class
Disjunction,Disjunction.disjunctOf,true,,false,A,9597,4,4,3,pass_kind=A; entry=disjunctOf,Disjunction.disjunctOf,true,,false,A,9605,4,4,3,pass_kind=A; entry=disjunctOf,Disjunction.disjunctOf,true,,false,A,9597,4,4,3,pass_kind=A; entry=disjunctOf,Disjunction,false,skipped,false,,,,,,no_rac_class
DivisorGame,DivisorGame.divisorGame,true,,false,A,11799,3,9,2,pass_kind=A; entry=divisorGame,DivisorGame.divisorGame,true,,false,A,10574,2,9,2,pass_kind=A; entry=divisorGame,DivisorGame,false,skipped,false,,,,,,no_rac_class,DivisorGame,false,skipped,false,,,,,,no_rac_class
DominantIndex,DominantIndex.dominantIndex,true,,false,A,1758438,468,2801,5,pass_kind=A; entry=dominantIndex,DominantIndex,false,skipped,false,,,,,,no_rac_class,DominantIndex,false,skipped,false,,,,,,no_rac_class,DominantIndex,false,skipped,false,,,,,,no_rac_class
EchoIntLoop,EchoIntLoop.echo,true,,false,A,10470,2,9,2,pass_kind=A; entry=echo,EchoIntLoop.echo,true,,false,A,14374,3,9,2,pass_kind=A; entry=echo,EchoIntLoop.echo,true,,false,A,14374,3,9,2,pass_kind=A; entry=echo,EchoIntLoop,false,skipped,false,,,,,,no_rac_class
Fibonacci,Fibonacci,false,skipped,false,,,,,,no_rac_class,Fibonacci,false,skipped,false,,,,,,no_rac_class,Fibonacci,false,skipped,false,,,,,,no_rac_class,Fibonacci,false,skipped,false,,,,,,no_rac_class
FindClosestNum,FindClosestNum.findClosestNumber,true,,false,A,1589100,468,2801,5,pass_kind=A; entry=findClosestNumber,FindClosestNum,false,skipped,false,,,,,,no_rac_class,FindClosestNum,false,skipped,false,,,,,,no_rac_class,FindClosestNum,false,skipped,false,,,,,,no_rac_class
FindFirstZero,FindFirstZero.FindFirstZero,true,,false,A,1197567,468,2801,5,pass_kind=A; entry=FindFirstZero,FindFirstZero.FindFirstZero,true,,false,A,4125217,469,2801,5,pass_kind=A; entry=FindFirstZero,FindFirstZero.FindFirstZero,true,,false,A,3656772,468,2801,5,pass_kind=A; entry=FindFirstZero,FindFirstZero,false,skipped,false,,,,,,no_rac_class
FizzBuzz,FizzBuzz.fizzBuzz,true,,false,A,11387,2,9,2,pass_kind=A; entry=fizzBuzz,FizzBuzz,false,skipped,false,,,,,,no_rac_class,FizzBuzz,false,skipped,false,,,,,,no_rac_class,FizzBuzz,false,skipped,false,,,,,,no_rac_class
FizzBuzzSeq,FizzBuzzSeq.fizzBuzz,true,,false,A,11827,2,9,2,pass_kind=A; entry=fizzBuzz,FizzBuzzSeq,false,skipped,false,,,,,,no_rac_class,FizzBuzzSeq.fizzBuzz,true,,false,A,13128,2,9,2,pass_kind=A; entry=fizzBuzz,FizzBuzzSeq,false,skipped,false,,,,,,no_rac_class
GCD,GCD,false,skipped,false,,,,,,no_rac_class,GCD,false,skipped,false,,,,,,no_rac_class,GCD,false,skipped,false,,,,,,no_rac_class,GCD.gcd,true,,false,A,138097,11,81,3,pass_kind=A; entry=gcd
IntCube,IntCube.cubeOf,true,,false,A,26938,2,9,2,pass_kind=A; entry=cubeOf,IntCube.cubeOf,true,,false,A,154945,2,9,2,pass_kind=A; entry=cubeOf,IntCube,false,skipped,false,,,,,,no_rac_class,IntCube.cubeOf,true,,false,A,153082,2,9,2,pass_kind=A; entry=cubeOf
IntSquare,IntSquare,false,skipped,false,,,,,,no_rac_class,IntSquare.squareOf,true,,false,A,35656,2,9,2,pass_kind=A; entry=squareOf,IntSquare,false,skipped,false,,,,,,no_rac_class,IntSquare,false,skipped,false,,,,,,no_rac_class
Inverse,Inverse,false,skipped,false,,,,,,no_rac_class,Inverse.Inverse,false,JavaException,true,n/a,,,,,pass_kind=n/a; entry=Inverse; wall_timeout_s=30.0,Inverse.Inverse,false,exit_code_-9,true,n/a,,,,,pass_kind=n/a; entry=Inverse; wall_timeout_s=30.0,Inverse,false,skipped,false,,,,,,no_rac_class
IsAllUnique,IsAllUnique.isAllUnique,true,,false,A,530123,31,703,3,pass_kind=A; entry=isAllUnique,IsAllUnique,false,skipped,false,,,,,,no_rac_class,IsAllUnique.isAllUnique,true,,false,A,530123,31,703,3,pass_kind=A; entry=isAllUnique,IsAllUnique.isAllUnique,true,,false,A,1779985,32,703,4,pass_kind=A; entry=isAllUnique
IsAscending,IsAscending.isAscending,false,NoUncaughtExceptionsProperty,false,n/a,650719,469,2801,5,pass_kind=n/a; entry=isAscending,IsAscending.isAscending,false,NoUncaughtExceptionsProperty,false,n/a,1553705,469,2801,5,pass_kind=n/a; entry=isAscending,IsAscending.isAscending,false,NoUncaughtExceptionsProperty,false,n/a,2279196,474,2801,6,pass_kind=n/a; entry=isAscending,IsAscending,false,skipped,false,,,,,,no_rac_class
IsBoomerang,IsBoomerang,false,skipped,false,,,,,,harness_unsupported:unsupported param type: int[][],IsBoomerang,false,skipped,false,,,,,,harness_unsupported:unsupported param type: int[][],IsBoomerang,false,skipped,false,,,,,,no_rac_class,IsBoomerang,false,skipped,false,,,,,,harness_unsupported:unsupported param type: int[][]
IsCommonFactor,IsCommonFactor.isCommonFactor,false,NoUncaughtExceptionsProperty,false,n/a,208916,93,729,4,pass_kind=n/a; entry=isCommonFactor,IsCommonFactor.isCommonFactor,false,NoUncaughtExceptionsProperty,false,n/a,175868,93,729,4,pass_kind=n/a; entry=isCommonFactor,IsCommonFactor.isCommonFactor,false,NoUncaughtExceptionsProperty,false,n/a,207620,93,729,4,pass_kind=n/a; entry=isCommonFactor,IsCommonFactor,false,skipped,false,,,,,,no_rac_class
IsCommonFactorBranch,IsCommonFactorBranch.isCommonFactor,false,NoUncaughtExceptionsProperty,false,n/a,209212,93,729,4,pass_kind=n/a; entry=isCommonFactor,IsCommonFactorBranch.isCommonFactor,false,NoUncaughtExceptionsProperty,false,n/a,210508,93,729,4,pass_kind=n/a; entry=isCommonFactor,IsCommonFactorBranch.isCommonFactor,false,NoUncaughtExceptionsProperty,false,n/a,209212,93,729,4,pass_kind=n/a; entry=isCommonFactor,IsCommonFactorBranch,false,skipped,false,,,,,,no_rac_class
IsCommonMultiple,IsCommonMultiple.isCommonMultiple,false,NoUncaughtExceptionsProperty,false,n/a,224126,94,729,4,pass_kind=n/a; entry=isCommonMultiple,IsCommonMultiple.isCommonMultiple,false,NoUncaughtExceptionsProperty,false,n/a,172948,93,729,4,pass_kind=n/a; entry=isCommonMultiple,IsCommonMultiple.isCommonMultiple,false,NoUncaughtExceptionsProperty,false,n/a,224126,94,729,4,pass_kind=n/a; entry=isCommonMultiple,IsCommonMultiple,false,skipped,false,,,,,,no_rac_class
IsCommonMultipleBranch,IsCommonMultipleBranch.isCommonMultiple,false,NoUncaughtExceptionsProperty,false,n/a,235439,94,729,4,pass_kind=n/a; entry=isCommonMultiple,IsCommonMultipleBranch.isCommonMultiple,false,NoUncaughtExceptionsProperty,false,n/a,174460,93,729,4,pass_kind=n/a; entry=isCommonMultiple,IsCommonMultipleBranch.isCommonMultiple,false,NoUncaughtExceptionsProperty,false,n/a,235439,94,729,4,pass_kind=n/a; entry=isCommonMultiple,IsCommonMultipleBranch,false,skipped,false,,,,,,harness_unsupported:unsupported param type: m % a !=
IsDescending,IsDescending.isDescending,false,NoUncaughtExceptionsProperty,false,n/a,650719,469,2801,5,pass_kind=n/a; entry=isDescending,IsDescending.isDescending,false,NoUncaughtExceptionsProperty,false,n/a,1553705,469,2801,5,pass_kind=n/a; entry=isDescending,IsDescending,false,skipped,false,,,,,,no_rac_class,IsDescending.isDescending,false,NoUncaughtExceptionsProperty,false,n/a,1396779,469,2801,5,pass_kind=n/a; entry=isDescending
IsMonotonic,IsMonotonic,false,skipped,false,,,,,,no_rac_class,IsMonotonic.isMonotonic,true,,false,A,6196899,469,2801,5,pass_kind=A; entry=isMonotonic,IsMonotonic,false,skipped,false,,,,,,no_rac_class,IsMonotonic,false,skipped,false,,,,,,no_rac_class
IsOneBitCharacter,IsOneBitCharacter.isOneBitCharacter,false,NoUncaughtExceptionsProperty,false,n/a,1144862726,23331,2150,40,pass_kind=n/a; entry=isOneBitCharacter,IsOneBitCharacter,false,skipped,false,,,,,,no_rac_class,IsOneBitCharacter,false,skipped,false,,,,,,no_rac_class,IsOneBitCharacter,false,skipped,false,,,,,,no_rac_class
IsPalindrome,IsPalindrome.isPalindrome,true,,false,A,437593,31,703,3,pass_kind=A; entry=isPalindrome,IsPalindrome.isPalindrome,true,,false,A,708329,31,703,3,pass_kind=A; entry=isPalindrome,IsPalindrome,false,skipped,false,,,,,,no_rac_class,IsPalindrome,false,skipped,false,,,,,,no_rac_class
IsPrefix,IsPrefix.isPrefix,false,exit_code_-9,true,n/a,,,,,pass_kind=n/a; entry=isPrefix; wall_timeout_s=30.0,IsPrefix.isPrefix,false,JavaException,false,n/a,,,,,pass_kind=n/a; entry=isPrefix,IsPrefix.isPrefix,false,exit_code_-9,true,n/a,,,,,pass_kind=n/a; entry=isPrefix; wall_timeout_s=30.0,IsPrefix,false,skipped,false,,,,,,no_rac_class
IsSubsequence,IsSubsequence,false,skipped,false,,,,,,no_rac_class,IsSubsequence,false,skipped,false,,,,,,no_rac_class,IsSubsequence,false,skipped,false,,,,,,no_rac_class,IsSubsequence,false,skipped,false,,,,,,no_rac_class
IsSuffix,IsSuffix,false,skipped,false,,,,,,no_rac_class,IsSuffix.isSuffix,false,exit_code_-9,true,n/a,,,,,pass_kind=n/a; entry=isSuffix; wall_timeout_s=30.0,IsSuffix,false,skipped,false,,,,,,no_rac_class,IsSuffix,false,skipped,false,,,,,,no_rac_class
